Country;Country_Code;WJP Rule of Law Index: Overall Score;Factor 1: Constraints on Government Powers (CGP);Factor 2: Absence of Corruption(AC);Factor 3: Open Government (OG);Factor 4: Fundamental Rights(FR);Factor 5: Order and Security(OS);Factor 6: Regulatory Enforcement(RE);Factor 7: Civil Justice(CJ);Factor 8: Criminal Justice(CJ)
Kazakhstan;KAZ;0.54;0.45;0.5;0.47;0.46;0.8;0.53;0.62;0.46
Kenya;KEN;0.45;0.48;0.27;0.5;0.48;0.55;0.45;0.5;0.39
Korea, Rep.;KOR;0.74;0.71;0.67;0.72;0.75;0.84;0.75;0.76;0.72
Kosovo;XKX;0.56;0.57;0.47;0.57;0.61;0.84;0.47;0.48;0.47
Kuwait;KWT;0.58;0.54;0.67;0.42;0.45;0.88;0.65;0.57;0.47
Kyrgyz Republic;KGZ;0.45;0.43;0.29;0.49;0.46;0.75;0.4;0.47;0.33
Latvia;LVA;0.73;0.7;0.69;0.73;0.77;0.86;0.72;0.71;0.68
Lebanon;LBN;0.44;0.48;0.36;0.44;0.46;0.65;0.44;0.4;0.31
Liberia;LBR;0.44;0.5;0.31;0.46;0.52;0.61;0.41;0.41;0.31
Lithuania;LTU;0.77;0.76;0.75;0.76;0.79;0.9;0.76;0.78;0.7
Luxembourg;LUX;0.83;0.82;0.85;0.81;0.85;0.95;0.85;0.78;0.73
Madagascar;MDG;0.43;0.42;0.27;0.45;0.46;0.71;0.38;0.42;0.31
Malawi;MWI;0.52;0.57;0.42;0.45;0.57;0.68;0.46;0.56;0.44
Malaysia;MYS;0.57;0.57;0.57;0.41;0.49;0.78;0.56;0.62;0.56
Mali;MLI;0.39;0.41;0.32;0.44;0.48;0.37;0.46;0.4;0.29
Malta;MLT;0.67;0.63;0.64;0.63;0.74;0.91;0.59;0.6;0.63
Mauritania;MRT;0.36;0.34;0.3;0.28;0.38;0.63;0.29;0.4;0.27
Mauritius;MUS;0.6;0.57;0.58;0.51;0.64;0.75;0.62;0.62;0.55
Mexico;MEX;0.41;0.43;0.27;0.57;0.47;0.52;0.43;0.37;0.25
Moldova;MDA;0.54;0.53;0.38;0.57;0.61;0.82;0.46;0.5;0.42
Mongolia;MNG;0.53;0.53;0.43;0.49;0.56;0.76;0.49;0.54;0.48
Montenegro;MNE;0.57;0.55;0.49;0.55;0.67;0.82;0.47;0.53;0.48
Morocco;MAR;0.48;0.51;0.41;0.42;0.43;0.69;0.5;0.5;0.37
Mozambique;MOZ;0.39;0.41;0.34;0.36;0.39;0.5;0.39;0.42;0.31
Myanmar;MMR;0.34;0.26;0.41;0.28;0.18;0.58;0.41;0.32;0.23
Namibia;NAM;0.61;0.65;0.52;0.58;0.65;0.75;0.58;0.61;0.55
Nepal;NPL;0.52;0.59;0.41;0.51;0.52;0.73;0.49;0.45;0.47
Netherlands;NLD;0.83;0.83;0.88;0.81;0.83;0.85;0.84;0.83;0.75
New Zealand;NZL;0.83;0.86;0.89;0.83;0.83;0.88;0.85;0.79;0.74
Nicaragua;NIC;0.34;0.22;0.3;0.3;0.28;0.69;0.35;0.3;0.24
Niger;NER;0.43;0.37;0.39;0.35;0.45;0.6;0.46;0.44;0.35
Nigeria;NGA;0.4;0.49;0.32;0.42;0.42;0.36;0.41;0.44;0.38
North Macedonia;MKD;0.53;0.47;0.46;0.52;0.62;0.8;0.45;0.51;0.44
Norway;NOR;0.89;0.92;0.94;0.88;0.9;0.93;0.88;0.87;0.83
Pakistan;PAK;0.38;0.45;0.32;0.41;0.37;0.37;0.38;0.39;0.36
Panama;PAN;0.52;0.54;0.41;0.56;0.63;0.7;0.49;0.48;0.35
Paraguay;PRY;0.46;0.49;0.3;0.55;0.5;0.69;0.45;0.4;0.27
Peru;PER;0.48;0.58;0.33;0.54;0.59;0.62;0.46;0.41;0.33
Philippines;PHL;0.46;0.48;0.43;0.47;0.41;0.67;0.47;0.46;0.31
Poland;POL;0.66;0.61;0.71;0.65;0.63;0.85;0.63;0.62;0.58
Portugal;PRT;0.68;0.75;0.72;0.63;0.75;0.78;0.6;0.63;0.57
Romania;ROU;0.62;0.6;0.53;0.62;0.67;0.83;0.57;0.61;0.53
Russian Federation;RUS;0.43;0.31;0.42;0.45;0.36;0.63;0.47;0.5;0.29
Rwanda;RWA;0.63;0.61;0.68;0.56;0.53;0.85;0.61;0.66;0.56
Senegal;SEN;0.55;0.55;0.55;0.44;0.59;0.7;0.57;0.55;0.46
Serbia;SRB;0.47;0.34;0.41;0.44;0.55;0.76;0.44;0.47;0.38
Sierra Leone;SLE;0.43;0.47;0.35;0.38;0.49;0.66;0.35;0.41;0.36
Singapore;SGP;0.78;0.68;0.92;0.6;0.68;0.94;0.87;0.79;0.78
Slovak Republic;SVK;0.66;0.64;0.54;0.71;0.72;0.9;0.62;0.55;0.59
Slovenia;SVN;0.69;0.66;0.66;0.66;0.77;0.89;0.64;0.67;0.58
South Africa;ZAF;0.56;0.61;0.46;0.61;0.63;0.6;0.51;0.58;0.5
Spain;ESP;0.71;0.7;0.73;0.69;0.78;0.82;0.68;0.64;0.67
Sri Lanka;LKA;0.51;0.51;0.49;0.52;0.49;0.68;0.49;0.45;0.42
St. Kitts and Nevis;KNA;0.64;0.62;0.65;0.46;0.69;0.77;0.61;0.69;0.59
St. Lucia;LCA;0.62;0.6;0.63;0.5;0.67;0.73;0.61;0.65;0.55
St. Vincent and the Grenadines;VCT;0.62;0.58;0.68;0.48;0.69;0.75;0.54;0.62;0.59
Sudan;SDN;0.35;0.27;0.35;0.34;0.32;0.52;0.33;0.35;0.34
Suriname;SUR;0.49;0.49;0.44;0.38;0.52;0.65;0.46;0.49;0.53
Sweden;SWE;0.86;0.86;0.91;0.84;0.87;0.93;0.83;0.83;0.78
Tanzania;TZA;0.47;0.5;0.41;0.39;0.44;0.7;0.46;0.48;0.37
Thailand;THA;0.5;0.46;0.46;0.48;0.48;0.74;0.45;0.5;0.41
Togo;TGO;0.45;0.37;0.42;0.31;0.45;0.69;0.5;0.47;0.36
Trinidad and Tobago;TTO;0.51;0.52;0.48;0.53;0.58;0.65;0.48;0.55;0.31
Tunisia;TUN;0.5;0.51;0.47;0.46;0.48;0.72;0.49;0.49;0.41
Türkiye;TUR;0.42;0.29;0.45;0.4;0.31;0.72;0.42;0.4;0.34
Uganda;UGA;0.39;0.38;0.27;0.39;0.34;0.57;0.43;0.42;0.32
Ukraine;UKR;0.49;0.46;0.34;0.56;0.59;0.62;0.43;0.53;0.37
United Arab Emirates;ARE;0.64;0.58;0.78;0.34;0.44;0.91;0.7;0.66;0.68
United Kingdom;GBR;0.78;0.82;0.83;0.8;0.8;0.84;0.78;0.71;0.7
United States;USA;0.7;0.67;0.73;0.75;0.68;0.83;0.72;0.63;0.59
Uruguay;URY;0.72;0.77;0.73;0.74;0.8;0.71;0.72;0.72;0.58
Uzbekistan;UZB;0.49;0.37;0.47;0.38;0.44;0.9;0.44;0.51;0.45
Venezuela, RB;VEN;0.26;0.18;0.26;0.27;0.29;0.53;0.19;0.25;0.11
Vietnam;VNM;0.5;0.47;0.42;0.44;0.46;0.78;0.46;0.46;0.47
Zambia;ZMB;0.45;0.46;0.38;0.4;0.4;0.68;0.43;0.46;0.4
Zimbabwe;ZWE;0.4;0.33;0.31;0.33;0.34;0.68;0.36;0.46;0.36
